PC1,PC2,PC3,PC4,district_id,year_month
7.01209647605427,-0.6198007062038741,0.34403626136799376,0.12715194625091986,1,2018-01-01
5.910821419746739,-0.7229712728429746,0.376793386707977,0.14319277250858378,1,2018-02-01
4.4840967457688725,-0.7325896160160282,0.2712348668325877,0.12081896276731141,1,2018-03-01
2.6699350103026918,-0.6124655942255782,0.1151260429802494,0.10240469169683125,1,2018-04-01
2.722347261645191,-0.6747478559160436,0.1938679513919577,0.0847991700070254,1,2018-05-01
1.9453122550023922,-0.6047145951394349,0.14654545669943975,0.10945144568661898,1,2018-06-01
0.5005453326605077,-0.49807497570277054,0.16846512562036448,0.056634244811971324,1,2018-07-01
-0.0446187068432852,-0.6049576545929714,0.140578946406872,0.09339962495768281,1,2018-08-01
0.971751363254694,-0.5235180322575166,0.21428413198058543,0.1141327463764425,1,2018-09-01
3.7021815425845044,-0.5139124827978164,0.22393865294826606,0.12193089575537473,1,2018-10-01
6.875578551762327,-0.5782427322220454,0.30399082067703587,0.14498007662428336,1,2018-11-01
8.408957137133978,-0.7565182137710507,0.27083249716886515,0.1527977350914402,1,2018-12-01
7.6246211739824945,-0.7985548813936052,0.23576370046624004,0.11141869830634427,1,2019-01-01
5.884161942584865,-0.5814366427396189,0.2547503509790121,0.17223911688340282,1,2019-02-01
4.635577952436317,-0.6660723374019135,0.28026804331423055,0.0462492445090284,1,2019-03-01
2.967560127841337,-0.6435292538233383,0.2718352077465691,0.11861716160975663,1,2019-04-01
2.6893629080930705,-0.5999730006666043,0.18666169470621713,0.0542212751126947,1,2019-05-01
1.602990249561042,-0.6342197410353253,0.11771085428179826,0.07107295753371369,1,2019-06-01
0.8186229731557643,-0.6057082321692694,0.1304435748609356,0.09413568746848856,1,2019-07-01
0.28732544230718504,-0.5978604621397289,0.11364209589875611,0.08369130244297804,1,2019-08-01
1.0881019479096354,-0.5865424901919837,0.00011263094937138706,0.09632736546368544,1,2019-09-01
3.56335014816533,-0.5259656957050491,0.18661855219036605,0.08213553022840857,1,2019-10-01
7.259256076873672,-0.5425189943389949,0.329885354257258,0.22807476404297855,1,2019-11-01
8.31710997641336,-0.6377861013468594,0.3749436355584611,0.19261716406947832,1,2019-12-01
7.9874534914886945,-0.6699861578660359,0.2395232756511086,0.18515762949318162,1,2020-01-01
6.401525148364924,-0.6776140691841869,0.25650937538932256,0.13969135020779824,1,2020-02-01
4.316757125401312,-0.6811265345380311,0.12396182016735749,0.142567253762538,1,2020-03-01
3.2256383760247465,-0.6234689820323199,0.3169874847777522,0.150307670507973,1,2020-04-01
2.4805557183302107,-0.5883511732229295,0.12823631122920062,0.11662984870583375,1,2020-05-01
1.7090526077612178,-0.5511268358469654,0.11672384816953413,0.17637176673709243,1,2020-06-01
0.5354109709020574,-0.5931567245754723,0.09356500408216095,0.08610715167836505,1,2020-07-01
0.28931161676300987,-0.5169384879561342,0.07374126712712892,0.03834228001857899,1,2020-08-01
1.0392668039616562,-0.5754481386602538,0.1262308964537718,0.07694060662858604,1,2020-09-01
3.5493125601590947,-0.696078526636532,0.28751949307618335,0.11836808753960645,1,2020-10-01
6.575064140285911,-0.6016523430475307,0.4222865978239333,-0.030285805079906754,1,2020-11-01
8.39899450125034,-0.8328559272089221,0.43487166810774835,0.09565838589346519,1,2020-12-01
7.0929746468782895,-0.6810821959326073,0.27561883758623595,0.23617065144673546,1,2021-01-01
6.01954334810079,-0.6504630851542694,0.2295325715883331,0.15632555157617956,1,2021-02-01
4.8578534291934625,-0.7008244732555761,0.23798154545443087,0.07491568509263684,1,2021-03-01
2.897506534498867,-0.5198165437531813,0.13358008422352716,0.19086686154839286,1,2021-04-01
2.9927220515871844,-0.6267061543939502,0.22620073029714285,0.13036215028428794,1,2021-05-01
2.0565787923039496,-0.5640669055050672,0.0837006116687406,0.08323072345137954,1,2021-06-01
0.4919052400969414,-0.4867203152021144,0.10988088815908202,0.13304610312789686,1,2021-07-01
0.12104609126735442,-0.5570810661575133,0.19628831239727446,0.0768303211191001,1,2021-08-01
1.23551023397717,-0.5790935789069799,0.12855675680537154,0.08542880909244442,1,2021-09-01
3.3892309290668257,-0.5262340969432536,0.15260033527987218,0.09157098985737012,1,2021-10-01
7.2449750510522986,-0.6877479460956807,0.28240244278147925,0.1388325268715994,1,2021-11-01
8.582751041628512,-0.7465049506746735,0.3543458990545858,0.13520157762971483,1,2021-12-01
6.935347512700407,-0.6059564353729892,0.26685753214347907,0.18722632327596594,1,2022-01-01
6.042659986529719,-0.5971002751490999,0.32588981988003485,0.25537642496325413,1,2022-02-01
4.520113858073286,-0.654675988103514,0.18695414363634538,0.06756412788665242,1,2022-03-01
3.052663701070931,-0.6464762262121869,0.1510155650989746,0.16621939822389564,1,2022-04-01
2.6657983499280795,-0.543897649326319,0.2048725118870563,0.02764699085033701,1,2022-05-01
2.0725314310054768,-0.5546282819055781,0.18038780307087238,0.09292538940086267,1,2022-06-01
0.5322353069641871,-0.5302499354969125,0.0971030522193116,0.04522993857173339,1,2022-07-01
0.21791232566230959,-0.5831654842834089,0.07146467560834792,0.07449318811336586,1,2022-08-01
0.9885922826331999,-0.5569493831667001,0.20343187042278782,0.05701478589358444,1,2022-09-01
3.4071139093325993,-0.679893943482371,0.2236434961832028,0.08140757172810034,1,2022-10-01
6.355879742460574,-0.7330337508148764,0.1836238350949808,0.07378629876976316,1,2022-11-01
7.871233939638114,-0.6482186893670827,0.3117947928304688,0.17985807418527655,1,2022-12-01
7.124025225590549,-0.7169662408641025,0.16126460864557934,0.15495643799161143,1,2023-01-01
6.123827107375576,-0.6999288222109715,0.15138244566014392,0.14750542044096127,1,2023-02-01
4.581779510002895,-0.4974586913031241,0.09547449133859665,0.12034485479355084,1,2023-03-01
3.1223650282973585,-0.6351196786122629,0.18395409645496205,0.0712394595471685,1,2023-04-01
2.3721981649082178,-0.7186570693055943,0.2531231944253393,0.12871234329185513,1,2023-05-01
2.1319838337746635,-0.5365624471826761,0.2481913617828984,0.1175890814325055,1,2023-06-01
0.672546737139652,-0.5587436938069683,0.12989470202494013,0.0916321024274069,1,2023-07-01
0.4497738466277941,-0.5369594204421975,0.19081981039169546,0.10283679083057434,1,2023-08-01
1.166754705588584,-0.5390655727813104,0.15873799688714624,0.0736444082790283,1,2023-09-01
3.5955281632695506,-0.6653252826528634,0.04795245987923841,0.13246419182994737,1,2023-10-01
7.429139439858179,-0.7626089392655993,0.30744318573553386,0.1094667039767084,1,2023-11-01
8.471003031324337,-0.833107842186693,0.4450272146496541,0.08408043411627415,1,2023-12-01
4.3084994756637265,-0.5758638979663874,0.18084688329430534,0.10815884829734439,2,2018-01-01
3.4351851471861528,-0.4420183453185022,0.17528801958112616,0.15026352090706313,2,2018-02-01
2.0766938549834815,-0.553041324246365,0.2835317715403206,0.06427643872617896,2,2018-03-01
0.9234683382845428,-0.523120247934532,0.20855990062459892,0.11433883963448284,2,2018-04-01
0.7638436799303238,-0.45494279433291285,0.15511107889324466,0.07888355688247907,2,2018-05-01
0.4999546836228114,-0.46775985741879983,0.11887682230740179,0.04853322971627882,2,2018-06-01
-0.5403988939647854,-0.4200293606438099,0.07707920479731753,0.0808899411451245,2,2018-07-01
-0.9340401100513666,-0.4848271029876026,0.11435706624752374,0.06059301417698052,2,2018-08-01
-0.3263451707973053,-0.4428289831290976,0.09604984154242269,0.07849343407116048,2,2018-09-01
1.4357596263875128,-0.5299436296123887,0.19484360739845116,0.07744281773343907,2,2018-10-01
3.9958196045462553,-0.5895552500055421,0.3824732907896998,0.068183545782929,2,2018-11-01
5.349825089282944,-0.45993787600871106,0.16215762874589987,0.12274862007083918,2,2018-12-01
4.312196361882888,-0.5001398696656886,0.30101803774166186,0.15344860539426508,2,2019-01-01
3.416069719972973,-0.4334398955149084,0.27115545015614606,0.019773437378616827,2,2019-02-01
2.5826294246620756,-0.48016752150948033,0.19930538007886672,0.08954226786871562,2,2019-03-01
1.365719335043738,-0.48453743489189094,0.16856058857099585,0.0675589293522363,2,2019-04-01
1.0471106911996249,-0.5331986961045478,0.14838179679384753,0.08566368753823089,2,2019-05-01
0.23796875781272614,-0.5212458616812561,0.14895986471733547,0.07009823225195438,2,2019-06-01
-0.6913825452952665,-0.5132123078202168,0.09167082383191387,0.07143480141850343,2,2019-07-01
-0.9826673965812497,-0.48063370106459546,0.08957978097613127,0.06092448466779263,2,2019-08-01
-0.4594472899102923,-0.4945455694475519,0.11533282134243962,0.062410669974078826,2,2019-09-01
1.3895884114713812,-0.5884202250273743,0.12438708667910439,0.1175459407039824,2,2019-10-01
4.16799256550619,-0.5667842718622853,0.3162497554602713,0.09144886510012785,2,2019-11-01
5.056739099407033,-0.5701309422012544,0.23566784308991734,0.10289804361821302,2,2019-12-01
4.119406306116073,-0.5737372295060337,0.2821154628718568,0.14455034221913737,2,2020-01-01
