running_center,resp_rate_per_100k,above
-29.03,33.57745530480421,0
-27.000500000000002,37.08219391944071,0
-25.001,38.91097018887568,0
-23.001,41.28571305000682,0
-21.0015,43.875800676116235,0
-19.002,45.49906187428889,0
-17.002,48.17695841643038,0
-15.0025,49.57974023648737,0
-13.003,51.09265444089037,0
-11.003,51.16571725392555,0
-9.003499999999999,55.82612291440844,0
-7.004,55.321352694603846,0
-5.004,56.73042068859133,0
-3.0044999999999997,62.10030437945931,0
-1.005,65.96731628228831,0
0.9950000000000001,66.02482712824155,1
2.9945000000000004,67.70615866944645,1
4.994,72.82688677377725,1
6.994,68.07838467569893,1
8.993500000000001,72.50162152011382,1
10.993,76.85090793833761,1
12.993,78.52410613445706,1
14.9925,79.4992392561564,1
16.992,84.77808293487732,1
18.992,85.6087657514458,1
20.991500000000002,84.41064162808651,1
22.991,92.09538711903181,1
24.991,84.71636516414674,1
26.990499999999997,81.33993005038015,1
28.99,92.94827602516116,1
