source_district,target_district,best_lag_months,F_stat,p_value,significant,direction
27,144,2,21.246,0.0,True,27→144
144,27,2,21.0254,0.0,True,144→27
27,145,2,34.8065,0.0,True,27→145
145,27,2,22.2308,0.0,True,145→27
27,146,2,29.4626,0.0,True,27→146
146,27,2,23.4447,0.0,True,146→27
27,147,2,28.7939,0.0,True,27→147
147,27,2,24.442,0.0,True,147→27
27,148,4,15.4707,0.0,True,27→148
148,27,2,25.6996,0.0,True,148→27
27,149,2,18.6918,0.0,True,27→149
149,27,2,24.7621,0.0,True,149→27
27,150,2,30.6191,0.0,True,27→150
150,27,2,24.1608,0.0,True,150→27
28,29,2,22.6185,0.0,True,28→29
29,28,2,21.9942,0.0,True,29→28
28,68,2,35.2717,0.0,True,28→68
68,28,2,28.944,0.0,True,68→28
28,131,2,18.1646,0.0,True,28→131
131,28,2,28.2708,0.0,True,131→28
28,134,2,20.6264,0.0,True,28→134
134,28,2,24.7787,0.0,True,134→28
28,135,2,28.2756,0.0,True,28→135
135,28,2,33.1362,0.0,True,135→28
28,136,2,14.3794,1e-05,True,28→136
136,28,2,31.1555,0.0,True,136→28
28,141,2,21.0634,0.0,True,28→141
141,28,2,25.2193,0.0,True,141→28
28,142,2,25.1197,0.0,True,28→142
142,28,3,26.4307,0.0,True,142→28
28,143,2,20.5403,0.0,True,28→143
143,28,2,30.4713,0.0,True,143→28
28,144,2,20.6699,0.0,True,28→144
144,28,2,28.9127,0.0,True,144→28
28,145,2,33.4166,0.0,True,28→145
145,28,2,27.8506,0.0,True,145→28
28,146,2,29.9638,0.0,True,28→146
146,28,2,29.9171,0.0,True,146→28
28,147,2,18.2925,0.0,True,28→147
147,28,2,31.3165,0.0,True,147→28
28,148,2,26.6908,0.0,True,28→148
148,28,2,30.2941,0.0,True,148→28
28,149,2,17.8485,0.0,True,28→149
149,28,2,26.5943,0.0,True,149→28
28,150,2,26.2427,0.0,True,28→150
150,28,2,34.6673,0.0,True,150→28
