state,district_name,population,literate_pop,working_pop,urban_percentage,literacy_rate,district_id
Assam,Nalbari,684750.0,426209.0,204736.0,3.4,62.2,69
Assam,Sivasagar,655495.0,453318.0,262335.0,11.3,69.2,70
Assam,Sonitpur,1020143.0,519394.0,379346.0,14.7,50.9,71
Assam,South Salmara Mancachar,306523.0,97255.0,85020.0,9.4,31.7,72
Assam,Tinsukia,1150062.0,588302.0,466351.0,19.5,51.2,73
Assam,Udalguri,783271.0,363554.0,297845.0,4.2,46.4,74
Assam,Unknown Districts Of India,17479.0,8112.0,6854.0,0.0,46.4,75
Assam,West Karbi Anglong,297153.0,136132.0,119333.0,22.4,45.8,76
Bihar,Araria,2158608.0,589679.0,853445.0,6.1,27.3,77
Bihar,Arwal,550804.0,243118.0,208020.0,0.0,44.1,78
Bihar,Aurangabad,2013055.0,920766.0,671011.0,8.4,45.7,79
Bihar,Banka,1587659.0,538585.0,629619.0,2.2,33.9,80
Bihar,Bhagalpur,2434933.0,972083.0,859094.0,19.4,39.9,81
Bihar,Bhojpur,2243144.0,1073010.0,653811.0,13.9,47.8,82
Bihar,Buxar,1402396.0,642167.0,408186.0,9.2,45.8,83
Bihar,Darbhanga,9204.0,2312.0,3226.0,0.0,25.1,84
Bihar,Gaya,3473428.0,1405453.0,1277639.0,13.7,40.5,85
Bihar,Jamui,1398796.0,476261.0,596617.0,7.4,34.0,86
Bihar,Jehanabad,926489.0,412258.0,361170.0,12.0,44.5,87
Bihar,Kaimur (Bhabua),1275579.0,555679.0,437975.0,3.3,43.6,88
Bihar,Katihar,2391413.0,654797.0,897899.0,9.1,27.4,89
Bihar,Kishanganj,1296348.0,313488.0,417151.0,10.0,24.2,90
Bihar,Lakhisarai,802225.0,303536.0,292634.0,14.7,37.8,91
Bihar,Madhepura,1526646.0,431480.0,683976.0,4.5,28.3,92
Bihar,Madhubani,3575281.0,1195776.0,1227723.0,3.5,33.4,93
Bihar,Munger,1137797.0,554332.0,331451.0,27.9,48.7,94
Bihar,Nalanda,2370528.0,1015473.0,903144.0,14.9,42.8,95
Bihar,Nawada,1800855.0,674943.0,671574.0,7.7,37.5,96
Bihar,Pashchim Champaran,3043466.0,932347.0,1154038.0,10.2,30.6,97
Bihar,Patna,4660059.0,2423400.0,1407598.0,42.1,52.0,98
Bihar,Purbi Champaran,3900328.0,1148567.0,1275780.0,6.2,29.4,99
Bihar,Purnia,2525489.0,694174.0,953903.0,8.8,27.5,100
Bihar,Rohtas,2464243.0,1211462.0,749095.0,13.3,49.2,101
Bihar,Sheikhpura,520614.0,200191.0,192767.0,15.6,38.5,102
Bihar,Sheohar,515961.0,144444.0,161218.0,4.1,28.0,103
Bihar,Sitamarhi,2682720.0,817711.0,855156.0,5.7,30.5,104
Bihar,Supaul,1732578.0,509025.0,728222.0,5.1,29.4,105
Chandigarh,Chandigarh,822067.0,593503.0,307160.0,98.4,72.2,106
Chhattisgarh,Balod,740596.0,486352.0,359121.0,10.6,65.7,107
Chhattisgarh,Baloda Bazar,870967.0,458031.0,376568.0,10.8,52.6,108
Chhattisgarh,Balrampur,598371.0,258755.0,302584.0,1.6,43.2,109
Chhattisgarh,Bastar,671137.0,243178.0,344734.0,13.0,36.2,110
Chhattisgarh,Bemetara,554535.0,298284.0,256446.0,5.4,53.8,111
Chhattisgarh,Bijapur,234637.0,57204.0,118678.0,0.0,24.4,112
Chhattisgarh,Bilaspur,1200467.0,674017.0,478622.0,34.6,56.1,113
Chhattisgarh,Dantewada,243976.0,73096.0,122997.0,21.3,30.0,114
Chhattisgarh,Dhamtari,698300.0,436837.0,350193.0,13.4,62.6,115
Chhattisgarh,Durg,1495303.0,996342.0,539022.0,63.9,66.6,116
Chhattisgarh,Gariyaband,509125.0,257683.0,257713.0,0.0,50.6,117
Chhattisgarh,Gaurella Pendra Marwahi,287165.0,138641.0,142375.0,9.6,48.3,118
Chhattisgarh,Janjgir-Champa,1316818.0,720147.0,575649.0,11.0,54.7,119
Chhattisgarh,Jashpur,739268.0,393076.0,396222.0,4.6,53.2,120
Chhattisgarh,Kabirdham,584552.0,261036.0,291648.0,7.7,44.7,121
Chhattisgarh,Kanker,650934.0,396797.0,351859.0,4.8,61.0,122
Chhattisgarh,Kondagaon,481510.0,172290.0,262950.0,5.6,35.8,123
Chhattisgarh,Korba,1011823.0,518372.0,431002.0,36.3,51.2,124
Chhattisgarh,Korea,569366.0,296464.0,272516.0,30.7,52.1,125
Chhattisgarh,Mahasamund,860257.0,484836.0,411747.0,11.4,56.4,126
Chhattisgarh,Mungeli,502169.0,230994.0,233207.0,8.7,46.0,127
Chhattisgarh,Narayanpur,117337.0,35146.0,64366.0,0.0,30.0,128
Chhattisgarh,Raigarh,1264815.0,746166.0,601202.0,13.4,59.0,129
Chhattisgarh,Raipur,1521181.0,934392.0,588520.0,50.8,61.4,130
Chhattisgarh,Rajnandgaon,1280369.0,821378.0,647954.0,18.1,64.2,131
Chhattisgarh,Sukma,250098.0,49551.0,144540.0,0.0,19.8,132
Chhattisgarh,Surajpur,657114.0,305452.0,319018.0,5.5,46.5,133
Chhattisgarh,Surguja,679518.0,283486.0,349144.0,9.7,41.7,134
Chhattisgarh,Unknown Districts Of India,6625.0,4601.0,2686.0,0.0,69.4,135
Delhi,Central,389826.0,259129.0,127013.0,100.0,66.5,136
Delhi,East,347618.0,234391.0,116087.0,95.4,67.4,137
Delhi,New Delhi,74994.0,54059.0,28085.0,100.0,72.1,138
Delhi,North,727140.0,496853.0,231122.0,100.0,68.3,139
Delhi,North East,480299.0,295745.0,126345.0,100.0,61.6,140
Delhi,North West,1686693.0,1176761.0,542251.0,100.0,69.8,141
Delhi,Shahdara,100825.0,63557.0,27766.0,100.0,63.0,142
Delhi,South,218119.0,135338.0,68252.0,100.0,62.0,143
Delhi,South East,193665.0,128542.0,58521.0,100.0,66.4,144
Delhi,Unknown Districts Of India,861740.0,621562.0,295319.0,88.0,72.1,145
Delhi,West,1292717.0,924786.0,427418.0,97.5,71.5,146
Goa,North Goa,609132.0,455957.0,246185.0,48.1,74.9,147
Goa,South Goa,738536.0,529605.0,276670.0,51.1,71.7,148
Gujarat,Ahmadabad,4848065.0,3315470.0,1681586.0,80.4,68.4,149
Gujarat,Amreli,1392514.0,789571.0,600312.0,22.5,56.7,150
Gujarat,Anand,1843623.0,1184941.0,778887.0,27.6,64.3,151
Gujarat,Arvalli,894493.0,502892.0,406246.0,7.9,56.2,152
Gujarat,Banas Kantha,2500782.0,1035994.0,1090915.0,11.0,41.4,153
Gujarat,Bharuch,1370656.0,875519.0,570693.0,25.7,63.9,154
Gujarat,Bhavnagar,2074185.0,1156639.0,788945.0,39.0,55.8,155
Gujarat,Botad,545196.0,285954.0,218178.0,23.3,52.4,156
Gujarat,Dang,186729.0,89586.0,92993.0,0.0,48.0,157
Gujarat,Devbhumi Dwarka,572054.0,279930.0,237284.0,26.1,48.9,158
Gujarat,Dohad,1636433.0,588074.0,814590.0,9.6,35.9,159
Gujarat,Gandhinagar,1179207.0,769802.0,495901.0,33.1,65.3,160
Gujarat,Gir Somnath,1053374.0,539481.0,403303.0,23.0,51.2,161
Gujarat,Jamnagar,1217189.0,739225.0,461688.0,49.0,60.7,162
Gujarat,Junagadh,1348983.0,837168.0,581106.0,32.7,62.1,163
Gujarat,Kachchh,1578974.0,793182.0,603394.0,30.1,50.2,164
Gujarat,Kheda,1833856.0,1134440.0,818356.0,20.3,61.9,165
Gujarat,Mahesana,1849665.0,1195976.0,834537.0,22.3,64.7,166
Gujarat,Mahisagar,861562.0,454379.0,427498.0,9.6,52.7,167
Gujarat,Morbi,824247.0,479710.0,337336.0,29.4,58.2,168
Gujarat,Narmada,509924.0,255764.0,257937.0,9.3,50.2,169
Gujarat,Navsari,1213215.0,807143.0,539407.0,26.4,66.5,170
Gujarat,Panch Mahals,1381002.0,695936.0,652071.0,14.8,50.4,171
Gujarat,Patan,1182709.0,599082.0,533078.0,20.2,50.7,172
Gujarat,Porbandar,518899.0,306831.0,208428.0,47.0,59.1,173
Gujarat,Rajkot,2513269.0,1640793.0,981901.0,56.0,65.3,174
Gujarat,Sabar Kantha,1185242.0,667117.0,532954.0,13.0,56.3,175
Gujarat,Surat,4112197.0,2738377.0,1719950.0,69.1,66.6,176
Gujarat,Surendranagar,1342283.0,696295.0,571525.0,28.2,51.9,177
Gujarat,Tapi,719634.0,354064.0,396204.0,9.7,49.2,178
