Country,State,Year,City Name,Location Name,"Number Of Monitoring Days (UOM:Number), Scaling Factor:1","Minimum Concentration Of Nitrogen Dioxide (No2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Maximum Concentration Of Nitrogen Dioxide (No2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Concentration Of Nitrogen Dioxide (No2) (Annual Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Port Blair,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Amaravati,,,,,11
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Anantapur,,,,,20
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Chittoor,,,,,11
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kadapa,,,,,22
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kakinada,,,,,16
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kurnool,,,,,17
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Rajahmundry/ Rajamahendravaram,,,,,16
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Srikakulam,,,,,20
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Tirupati,,,,,30
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vijayawada,,,,,19
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Visakhapatnam,,,,,34
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vizianagaram,,,,,20
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Naharlagun,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2023",Bongaigaon,,,,,12
India,Assam,"Calendar Year (Jan - Dec), 2023",Brynihat,,,,,28
India,Assam,"Calendar Year (Jan - Dec), 2023",Guwahati,,,,,10
India,Assam,"Calendar Year (Jan - Dec), 2023",Nagaon,,,,,15
India,Assam,"Calendar Year (Jan - Dec), 2023",Nalbari,,,,,17
India,Assam,"Calendar Year (Jan - Dec), 2023",Silcher,,,,,11
India,Assam,"Calendar Year (Jan - Dec), 2023",Sivasagar,,,,,12
India,Assam,"Calendar Year (Jan - Dec), 2023",Tinsukia,,,,,12
India,Bihar,"Calendar Year (Jan - Dec), 2023",Araria,,,,,26
India,Bihar,"Calendar Year (Jan - Dec), 2023",Arrah,,,,,36
India,Bihar,"Calendar Year (Jan - Dec), 2023",Aurangabad,,,,,8
India,Bihar,"Calendar Year (Jan - Dec), 2023",Begusarai,,,,,39
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bettiah,,,,,24
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bhagalpur,,,,,33
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bihar Sharif,,,,,7
India,Bihar,"Calendar Year (Jan - Dec), 2023",Chhapra,,,,,20
India,Bihar,"Calendar Year (Jan - Dec), 2023",Gaya,,,,,21
India,Bihar,"Calendar Year (Jan - Dec), 2023",Hajipur,,,,,28
India,Bihar,"Calendar Year (Jan - Dec), 2023",Katihar,,,,,50
India,Bihar,"Calendar Year (Jan - Dec), 2023",Kishanganj,,,,,35
India,Bihar,"Calendar Year (Jan - Dec), 2023",Manguraha,,,,,31
India,Bihar,"Calendar Year (Jan - Dec), 2023",Motihari,,,,,49
India,Bihar,"Calendar Year (Jan - Dec), 2023",Munger,,,,,28
India,Bihar,"Calendar Year (Jan - Dec), 2023",Muzaffarpur,,,,,21
India,Bihar,"Calendar Year (Jan - Dec), 2023",Patna,,,,,32
India,Bihar,"Calendar Year (Jan - Dec), 2023",Purnia,,,,,28
India,Bihar,"Calendar Year (Jan - Dec), 2023",Rajgir,,,,,18
India,Bihar,"Calendar Year (Jan - Dec), 2023",Saharsa,,,,,7
India,Bihar,"Calendar Year (Jan - Dec), 2023",Samastipur,,,,,18
India,Bihar,"Calendar Year (Jan - Dec), 2023",Sasaram,,,,,26
India,Bihar,"Calendar Year (Jan - Dec), 2023",Siwan,,,,,47
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Chandigarh,,,,,25
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Bilaspur,,,,,10
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Chhal,,,,,16
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Durg Bhillainagar,,,,,14
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Korba,,,,,26
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Kunjemura,,,,,32
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Milupara,,,,,19
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Raigarh,,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Raipur,,,,,33
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Tumidh,,,,,21
India,Delhi,"Calendar Year (Jan - Dec), 2023",Delhi,,,,,38
India,Goa,"Calendar Year (Jan - Dec), 2023",Mapusa,,,,,12
India,Goa,"Calendar Year (Jan - Dec), 2023",Panaji,,,,,13
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Ahmedabad,,,,,18
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Ankleshwar,,,,,30
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Gandhinagar,,,,,8
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Nandesari,,,,,8
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Rajkot,,,,,19
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Surat,,,,,14
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vadodara,,,,,19
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vapi,,,,,24
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vatva,,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2023",Ambala,,,,,23
India,Haryana,"Calendar Year (Jan - Dec), 2023",Bahadurgarh,,,,,28
India,Haryana,"Calendar Year (Jan - Dec), 2023",Ballabgarh,,,,,8
India,Haryana,"Calendar Year (Jan - Dec), 2023",Bhiwani,,,,,21
India,Haryana,"Calendar Year (Jan - Dec), 2023",Charkhi Dadri,,,,,14
India,Haryana,"Calendar Year (Jan - Dec), 2023",Dharuhera,,,,,32
India,Haryana,"Calendar Year (Jan - Dec), 2023",Faridabad,,,,,19
India,Haryana,"Calendar Year (Jan - Dec), 2023",Fatehabad,,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2023",Gurgaon,,,,,25
India,Haryana,"Calendar Year (Jan - Dec), 2023",Hissar,,,,,22
India,Haryana,"Calendar Year (Jan - Dec), 2023",Jind,,,,,34
India,Haryana,"Calendar Year (Jan - Dec), 2023",Kaithal,,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2023",Karnal,,,,,8
India,Haryana,"Calendar Year (Jan - Dec), 2023",Kurukshetra,,,,,21
India,Haryana,"Calendar Year (Jan - Dec), 2023",Mandikhera,,,,,15
India,Haryana,"Calendar Year (Jan - Dec), 2023",Manesar,,,,,20
India,Haryana,"Calendar Year (Jan - Dec), 2023",Narnaul,,,,,25
India,Haryana,"Calendar Year (Jan - Dec), 2023",Palwal,,,,,15
India,Haryana,"Calendar Year (Jan - Dec), 2023",Panchukula Urban Estate,,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2023",Panipat,,,,,24
India,Haryana,"Calendar Year (Jan - Dec), 2023",Rohtak,,,,,30
India,Haryana,"Calendar Year (Jan - Dec), 2023",Sirsa,,,,,25
India,Haryana,"Calendar Year (Jan - Dec), 2023",Sonipat,,,,,31
India,Haryana,"Calendar Year (Jan - Dec), 2023",Yamuna Nagar,,,,,13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Baddi,,,,,18
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Damtal,,,,,5
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Dharamshala,,,,,5
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Kala Amb,,,,,12
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Manali,,,,,7
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Nalagarh,,,,,12
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Parwanoo,,,,,5
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Poanta Sahib,,,,,12
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Shimla,,,,,7
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Sunder Nagar,,,,,5
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Una,,,,,6
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Vashisht,,,,,5
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Jammu,,,,,15.65002976078453638560
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Ramban (J),,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Srinagar (K),,,,,13.69377604068646933740
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Dhanbad,,,,,62
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Jamshedpur,,,,,43
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Jorapokhar,,,,,12
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Ranchi,,,,,35
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bagalkote,,,,,11
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bangalore,,,,,21
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Belgaum,,,,,18
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bidar,,,,,7
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bijapur / Vijayapura,,,,,16
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Chamarajanagar,,,,,19
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Chikkaballapur,,,,,17
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Chikkamagaluru,,,,,12
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Devanagere,,,,,8
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Gadag,,,,,6
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Gulbarga / Kalaburgi,,,,,11
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Hassan,,,,,13
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Haveri,,,,,17
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Hubli Dharwad,,,,,12
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Kolar,,,,,13
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Koppal,,,,,11
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Madikeri,,,,,4
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Mandya,,,,,14
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Mangalore,,,,,15
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Mysore,,,,,17
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Raichur,,,,,18
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Ramanagara,,,,,22
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Shimaga / Shivamogga,,,,,12
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Tumkuru,,,,,20
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Udupi,,,,,12
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Yadgir,,,,,10
India,Kerala,"Calendar Year (Jan - Dec), 2023",Alappuzha,,,,,5
India,Kerala,"Calendar Year (Jan - Dec), 2023",Eloor,,,,,11
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kannur,,,,,12
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kochi,,,,,9
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kollam,,,,,11
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kottayam,,,,,5
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kozhikode,,,,,6
India,Kerala,"Calendar Year (Jan - Dec), 2023",Mallappuram,,,,,14
India,Kerala,"Calendar Year (Jan - Dec), 2023",Palakkad,,,,,5
India,Kerala,"Calendar Year (Jan - Dec), 2023",Pathanamthitta,,,,,5
India,Kerala,"Calendar Year (Jan - Dec), 2023",Thiruvanantapuram,,,,,10
India,Kerala,"Calendar Year (Jan - Dec), 2023",Thrissur,,,,,10
India,Kerala,"Calendar Year (Jan - Dec), 2023",Wayanad,,,,,5
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Jammu,,,,,0.34997023921546361440
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Ramban (J),,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Srinagar (K),,,,,0.30622395931353066260
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Amlai,,,,,14
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Bhopal,,,,,22
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Chindwara,,,,,16
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Damoh,,,,,6
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Dewas,,,,,15
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Gwalior,,,,,22
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Indore,,,,,38
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Jabalpur,,,,,24
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Katni,,,,,29
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Maihar,,,,,11
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Mandideep,,,,,36
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Pithampur,,,,,12
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Ratlam,,,,,32
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Sagar,,,,,13
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Satna,,,,,17
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Singrauli,,,,,56
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Ujjain,,,,,14
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Ahmednagar,,,,,31
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Akola,,,,,15
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Amravati,,,,,15
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Aurangabad,,,,,27
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Badlapur,,,,,38
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Belapur,,,,,23
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Bhiwandi,,,,,39
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Boisar,,,,,15
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Chandrapur,,,,,22
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Dhule,,,,,12
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Dombivali / Kalyan,,,,,42
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Jalgaon,,,,,21
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Jalna,,,,,37
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Kolhapur,,,,,24
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Latur,,,,,15
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Mahad,,,,,21
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Malegao,,,,,11
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Mira Bhayander,,,,,17
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Mumbai,,,,,29
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Nagpur,,,,,31
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Nanded,,,,,30
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Nashik,,,,,20
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Navi Mumbai,,,,,49
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Parbhani,,,,,17
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Pimpri Chinchwad,,,,,47
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Pune,,,,,54
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Roha,,,,,14
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Sangli,,,,,30
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Solapur,,,,,29
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Tarapur,,,,,53
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Thane,,,,,29
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Ulhas Nagar,,,,,42
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Vasai virar,,,,,17
India,Manipur,"Calendar Year (Jan - Dec), 2023",Imphal,,,,,10
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Byraihat,,,,,18
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Dawki,,,,,11
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Khlihriat,,,,,11
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Nongstoin,,,,,11
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Shillong,,,,,8
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Tura,,,,,7
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Umsning,,,,,9
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Aizwal,,,,,4
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Champhai,,,,,5
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Kolasib,,,,,4
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Lawngtlai,,,,,5
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Lunglei,,,,,5
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Mamit,,,,,5
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Serchhip,,,,,5
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Siaha,,,,,5
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Dimapur,,,,,8
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Kohima,,,,,3
India,Odisha,"Calendar Year (Jan - Dec), 2023",Angul,,,,,20
India,Odisha,"Calendar Year (Jan - Dec), 2023",Balasore,,,,,11
India,Odisha,"Calendar Year (Jan - Dec), 2023",Baripada,,,,,6
India,Odisha,"Calendar Year (Jan - Dec), 2023",Bhubaneshwar,,,,,18
India,Odisha,"Calendar Year (Jan - Dec), 2023",Bileipada,,,,,8
India,Odisha,"Calendar Year (Jan - Dec), 2023",Brajrajnagar,,,,,19
India,Odisha,"Calendar Year (Jan - Dec), 2023",Cuttack,,,,,23
India,Odisha,"Calendar Year (Jan - Dec), 2023",Jharsuguda,,,,,14
India,Odisha,"Calendar Year (Jan - Dec), 2023",Keonjhar,,,,,19
India,Odisha,"Calendar Year (Jan - Dec), 2023",Konark,,,,,12
India,Odisha,"Calendar Year (Jan - Dec), 2023",Nayagarh,,,,,27
India,Odisha,"Calendar Year (Jan - Dec), 2023",Paradeep,,,,,11
India,Odisha,"Calendar Year (Jan - Dec), 2023",Puri,,,,,13
India,Odisha,"Calendar Year (Jan - Dec), 2023",Rairangpur,,,,,19
India,Odisha,"Calendar Year (Jan - Dec), 2023",Rourkela,,,,,17
India,Odisha,"Calendar Year (Jan - Dec), 2023",Sambalpur,,,,,25
India,Odisha,"Calendar Year (Jan - Dec), 2023",Suakati,,,,,16
India,Odisha,"Calendar Year (Jan - Dec), 2023",Talcher,,,,,31
India,Odisha,"Calendar Year (Jan - Dec), 2023",Tensa,,,,,36
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Karaikal,,,,,5
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Pondicherry,,,,,12
India,Punjab,"Calendar Year (Jan - Dec), 2023",Amritsar,,,,,25
India,Punjab,"Calendar Year (Jan - Dec), 2023",Aspal Khurd (Tapa),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Barnala,,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Batala,,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Bhatinda,,,,,21
India,Punjab,"Calendar Year (Jan - Dec), 2023",Changal (Sangrur),,,,,13
India,Punjab,"Calendar Year (Jan - Dec), 2023",Dera Baba Nanak,,,,,13
India,Punjab,"Calendar Year (Jan - Dec), 2023",Dera Bassi,,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Faridkot,,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Fatehpur (Samana),,,,,13
India,Punjab,"Calendar Year (Jan - Dec), 2023",Fazilka,,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Gurdaspur,,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Guru Ki Dhab (Kotkapura),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Jaito Sarja (Batala),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Jalandhar,,,,,21
India,Punjab,"Calendar Year (Jan - Dec), 2023",Khanna,,,,,24
India,Punjab,"Calendar Year (Jan - Dec), 2023",Kharaori (Sirhind),,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Kotladoom (Ajnala),,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Lakho ke Behram (Ferozpur),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Ludhiana,,,,,23
India,Punjab,"Calendar Year (Jan - Dec), 2023",Malerkota,,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mandi Gobindgarh,,,,,26
India,Punjab,"Calendar Year (Jan - Dec), 2023",Moga,,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mohali,,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mrar Kalan (Muktsar),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mukandpur (Nawashahar),,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mureedke (Batala),,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Naudhrani (Malerkotla),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Naya Nangal,,,,,11
India,Punjab,"Calendar Year (Jan - Dec), 2023",Patiala,,,,,20
India,Punjab,"Calendar Year (Jan - Dec), 2023",Peer Mohammad (Jalalabad),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Poohli (Bhatinda),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Qila Bharian (Sangrur),,,,,14
India,Punjab,"Calendar Year (Jan - Dec), 2023",Rakhra (Patiala),,,,,13
India,Punjab,"Calendar Year (Jan - Dec), 2023",Rohila (Samrala),,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Rupnagar,,,,,21
India,Punjab,"Calendar Year (Jan - Dec), 2023",SBS nagar,,,,,16
India,Punjab,"Calendar Year (Jan - Dec), 2023",Sirhind,,,,,17
India,Punjab,"Calendar Year (Jan - Dec), 2023",Taran-Tarn,,,,,15
India,Punjab,"Calendar Year (Jan - Dec), 2023",Tirathpur (Amritsar I),,,,,15
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Ajmer,,,,,23
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Alwar,,,,,36
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Banswara,,,,,15
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Baran,,,,,16
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Barmer,,,,,10
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bharatpur,,,,,32
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bhilwara,,,,,20
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bhiwadi,,,,,35
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bikaner,,,,,26
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bundi,,,,,16
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Chittorgargh,,,,,22
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Churu,,,,,25
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Dausa,,,,,34
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Dholpur,,,,,13
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Dungarpur,,,,,16
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Hanumangarh,,,,,20
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jaipur,,,,,32
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jaisalmer,,,,,20
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jalore,,,,,32
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jhalawar,,,,,16
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jhunjhunu,,,,,23
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jodhpur,,,,,25
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Karauli,,,,,19
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Kota,,,,,32
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Nagaur,,,,,17
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Pali,,,,,22
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Pratapgarh,,,,,13
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Rajasmand,,,,,11
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sawai Madhopur,,,,,16
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sikar,,,,,16
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sirohi,,,,,19
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sri Ganganagar,,,,,36
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Tonk,,,,,17
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Udaipur,,,,,29
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Gangtok,,,,,4
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Mangan,,,,,5
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Namchi,,,,,5
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Pelling,,,,,5
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Ravangla,,,,,5
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Singtam,,,,,10
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Ariyalura,,,,,27
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Chengalpattu,,,,,24
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Chennai,,,,,21
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Coimbatore,,,,,11
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Cuddalore,,,,,40
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Dharmapuri,,,,,22
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Dindigul,,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Gummidipoondi,,,,,10
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Hosur,,,,,10
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Kanchipuram,,,,,4
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Madurai,,,,,24
